,mi_3,mi_7,mi_11,mi_21,mi_31,eqw_2,eqf_2,kmeans_2,distortion_aligned_2,eqw_5,eqf_5,kmeans_5,distortion_aligned_5,eqw_square-root,eqf_square-root,kmeans_square-root,distortion_aligned_square-root,eqw_sturges-formula,eqf_sturges-formula,kmeans_sturges-formula,distortion_aligned_sturges-formula,eqw_rice-rule,eqf_rice-rule,kmeans_rice-rule,distortion_aligned_rice-rule
airfoil,1.305,1.2075,1.1325,1.1175,1.1575,1.15,2.54,1.1425,1.1175,1.095,2.31,1.1,1.1025,1.105,2.2075,1.0875,1.1,1.105,2.1825,1.1,1.1,1.105,2.1,1.1,1.1025
cpu_performance,2.3,2.1683333333333334,2.275,2.34,2.3,2.3833333333333333,4.25,2.4616666666666664,2.39,2.4233333333333333,4.363333333333333,2.3983333333333334,2.37,2.51,3.6683333333333334,2.445,2.3866666666666667,2.51,4.056666666666667,2.4,2.368333333333333,2.51,3.7183333333333333,2.4433333333333334,2.3633333333333333
forestfires,8.426470588235293,9.29,9.506470588235294,9.16,8.481764705882354,9.896470588235294,8.305882352941177,9.913529411764706,12.531176470588235,10.071764705882353,7.439411764705882,9.58,10.633529411764705,10.18,7.567647058823529,10.33,8.659411764705883,10.18,8.028823529411765,9.75235294117647,9.74705882352941,10.18,7.370588235294117,9.714117647058824,9.229411764705882
real_estate_valuation,3.156,3.056,3.002,2.956,2.908,3.18,4.22,2.262,2.412,2.318,3.846,2.512,2.298,2.708,3.062,2.706,2.66,2.712,3.556,2.628,2.684,2.708,3.384,2.592,2.65
slump_test,3.79125,3.17,3.55,3.805,4.13625,3.10125,5.795,3.0875,3.32375,3.42625,4.5575,3.45625,3.53625,3.96,4.48,3.54375,3.64375,3.37,4.695,3.615,3.50875,3.96,4.48,3.54375,3.64375
stock_portfolio_performance,2.202,2.294,2.216,2.134,2.06,2.072,2.69,2.062,2.064,2.042,2.734,2.004,2.056,2.044,2.72,2.026,2.064,2.126,2.708,2.082,2.15,2.12,2.698,2.09,2.164
winequality_red,1.95,1.756,1.829,1.8,1.757,1.673,3.781,1.673,1.922,1.827,3.706,1.864,1.736,2.061,3.767,1.725,1.725,1.88,3.706,1.88,1.761,1.88,3.706,1.88,1.761
winequality_white,2.955,3.063,3.417,3.55,3.319,1.685,4.853,1.685,3.256,1.696,4.067,1.696,1.871,1.851,4.783,1.678,1.678,1.742,4.066,1.715,1.715,1.742,4.066,1.715,1.715
yacht_hydrodynamics,2.556,2.556,2.556,2.558,2.46,2.644,5.518,2.478,2.472,2.664,5.65,2.44,2.362,2.226,5.592,2.112,2.152,2.17,5.556,2.226,2.24,2.2,5.532,2.144,2.176
diabetes,1.65,1.68,1.62,1.52,1.59,1.64,1.46,1.71,1.7,1.5,1.51,1.75,1.75,1.53,1.49,1.75,1.77,1.75,1.53,1.81,1.72,1.77,1.53,1.81,1.72
